,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,New York
26,North Carolina
27,North Dakota
28,Oklahoma
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Utah
35,Vermont
36,Virginia
37,West Virginia
38,Wisconsin
39,Wyoming
